Problem Number,Problem Title,Difficulty,Frequency,Link,Company,Timeframe
1,Two Sum,EASY,100.0,https://leetcode.com/problems/two-sum/,Google,30_days
2,Add Two Numbers,MEDIUM,98.5,https://leetcode.com/problems/add-two-numbers/,Google,30_days
3,Longest Substring Without Repeating Characters,MEDIUM,97.2,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Google,30_days
5,Longest Palindromic Substring,MEDIUM,96.8,https://leetcode.com/problems/longest-palindromic-substring/,Google,30_days
17,Letter Combinations of a Phone Number,MEDIUM,95.4,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Google,30_days
