Problem Number,Problem Title,Difficulty,Frequency,Link,Company,Timeframe
1,Two Sum,EASY,100.0,https://leetcode.com/problems/two-sum/,Google,6_months
20,Valid Parentheses,EASY,99.3,https://leetcode.com/problems/valid-parentheses/,Google,6_months
23,Merge k Sorted Lists,HARD,98.6,https://leetcode.com/problems/merge-k-sorted-lists/,Google,6_months
42,Trapping Rain Water,HARD,97.8,https://leetcode.com/problems/trapping-rain-water/,Google,6_months
48,Rotate Image,MEDIUM,96.5,https://leetcode.com/problems/rotate-image/,Google,6_months
