Problem Number,Problem Title,Difficulty,Frequency,Link,Company,Timeframe
1,Two Sum,EASY,100.0,https://leetcode.com/problems/two-sum/,Amazon,6_months
42,Trapping Rain Water,HARD,85.1,https://leetcode.com/problems/trapping-rain-water/,Amazon,6_months
146,LRU Cache,MEDIUM,81.4,https://leetcode.com/problems/lru-cache/,Amazon,6_months
121,Best Time to Buy and Sell Stock,EASY,81.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Amazon,6_months
3,Longest Substring Without Repeating Characters,MEDIUM,79.2,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Amazon,6_months
